pattern	subject	A	B	oracle	verdict
(?:(?:a|[a-c]??){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a|[a-c]??){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a|[a-c]??){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a|[a-c]{0,2}?){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a|[a-c]{0,2}?){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a|[a-c]{0,2}?){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b*|a+){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b*|a+){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b*|a+){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b*|a+){0,2})*	'bba'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|b*?){0,2})*	'ab'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|b*?){0,2})*	'aab'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|b*?){0,2})*	'aba'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|b*?){0,2})*	'abb'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b?|a+){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b?|a+){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b?|a+){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|b??){0,2})*	'ab'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|b??){0,2})*	'aab'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|b??){0,2})*	'aba'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|b??){0,2})*	'abb'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|a+){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|a+){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|a+){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|a+){0,2})*	'bba'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|b{0,2}?){0,2})*	'ab'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|b{0,2}?){0,2})*	'aab'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|b{0,2}?){0,2})*	'aba'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|b{0,2}?){0,2})*	'abb'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]*?){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]*?){0,2})*	'aac'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|[a-c]*?){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]*?){0,2})*	'acc'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]??){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]??){0,2})*	'aac'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|[a-c]??){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]??){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]{0,2}?){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]{0,2}?){0,2})*	'aac'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a+|[a-c]{0,2}?){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a+|[a-c]{0,2}?){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a*|[a-c]){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a*|[a-c]){0,2})*	'aac'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a*|[a-c]){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a*|[a-c]){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a?|[a-c]){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a?|[a-c]){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a?|[a-c]){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a{0,2}|[a-c]){0,2})*	'ac'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:a{0,2}|[a-c]){0,2})*	'aac'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:a{0,2}|[a-c]){0,2})*	'aca'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:a{0,2}|[a-c]){0,2})*	'acc'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b*|[a-c]){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b*|[a-c]){0,2})*	'bc'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b*|[a-c]){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b*|[a-c]){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b?|[a-c]){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b?|[a-c]){0,2})*	'bc'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b?|[a-c]){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b?|[a-c]){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|[a-c]){0,2})*	'ba'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|[a-c]){0,2})*	'bc'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|[a-c]){0,2})*	'baa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:b{0,2}|[a-c]){0,2})*	'bab'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]*|[a-c]){0,2})*	'ca'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:[^a]*|[a-c]){0,2})*	'caa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]*|[a-c]){0,2})*	'cac'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]*|[a-c]){0,2})*	'cca'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
(?:(?:[^a]?|[a-c]){0,2})*	'ca'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:[^a]?|[a-c]){0,2})*	'caa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]?|[a-c]){0,2})*	'cac'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]{0,2}|[a-c]){0,2})*	'ca'	(0, 1)	(0, 2)	(0, 1)	A-RIGHT
(?:(?:[^a]{0,2}|[a-c]){0,2})*	'caa'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]{0,2}|[a-c]){0,2})*	'cac'	(0, 1)	(0, 3)	(0, 1)	A-RIGHT
(?:(?:[^a]{0,2}|[a-c]){0,2})*	'cca'	(0, 2)	(0, 3)	(0, 2)	A-RIGHT
