m=2  exact    [0-9]{2}x      forward edges = 1  OK
m=2  nullable [a-z]{0,2}     forward edges = 1  OK
m=3  exact    [0-9]{3}x      forward edges = 1  OK
m=3  nullable [a-z]{0,3}     forward edges = 1  OK
m=4  exact    [0-9]{4}x      forward edges = 1  OK
m=4  nullable [a-z]{0,4}     forward edges = 1  OK
m=8  exact    [0-9]{8}x      forward edges = 1  OK
m=8  nullable [a-z]{0,8}     forward edges = 1  OK
OUT=out PCREC=/home/duxevents/pcrec/build/pcrec ./run_floor.sh
m=2  exact    pattern [0-9]{2}x        forward edges=1
    6  3  exact     1.7399   1.7858     0.9743
    6  3  nullable  2.8453   3.1488     0.9036
    6  4  exact     1.3863   1.3469     1.0292
    6  4  nullable  2.0078   2.1592     0.9299
    6  8  exact     0.6412   0.6473     0.9906
    6  8  nullable  1.9272   1.6394     1.1755
    7  2  exact     2.3244   1.8972     1.2252
    7  2  nullable  3.2624   3.2271     1.0109
    7  3  exact     1.4410   1.4363     1.0033
    7  3  nullable  2.3437   2.4377     0.9614
    7  4  exact     1.1436   1.1388     1.0042
    7  4  nullable  2.0152   2.1542     0.9354
    7  8  exact     0.6401   0.6376     1.0039
    7  8  nullable  1.9875   1.9883     0.9996
    8  2  exact     4.1646   2.2985     1.8119
    8  2  nullable  3.2941   3.7681     0.8742
    8  3  exact     1.7585   1.7428     1.0090
    8  3  nullable  2.8855   2.5572     1.1284
    8  4  exact     1.1394   1.1385     1.0008
    8  4  nullable  1.9854   2.1691     0.9153
    8  8  exact     0.6368   0.6638     0.9594
    8  8  nullable  1.6520   1.6511     1.0005
    9  2  exact     4.1763   2.2972     1.8180
    9  2  nullable  3.2965   3.7593     0.8769
    9  3  exact     3.1573   3.1715     0.9955
    9  3  nullable  5.1844   2.4527     2.1138
    9  4  exact     1.1402   1.1488     0.9924
    9  4  nullable  2.0327   2.0180     1.0073
    9  8  exact     0.7930   0.6466     1.2265
    9  8  nullable  1.6194   1.6541     0.9790
   10  2  exact     2.3322   2.3192     1.0056
   10  2  nullable  3.2917   3.6670     0.8977
   10  3  exact     1.7514   1.7435     1.0046
   10  3  nullable  2.8421   2.4595     1.1556
   10  4  exact     1.1541   1.1458     1.0073
   10  4  nullable  2.0344   2.0280     1.0032
   10  8  exact     0.6357   0.6370     0.9979
   10  8  nullable  1.9411   4.6063     0.4214
   11  2  exact     2.0169   1.8975     1.0629
   11  2  nullable  4.9315   3.1289     1.5761
   11  3  exact     1.4330   1.4392     0.9957
   11  3  nullable  2.4772   2.4591     1.0074
   11  4  exact     1.1889   1.1420     1.0410
   11  4  nullable  2.0716   2.1651     0.9568
   11  8  exact     1.3566   1.4071     0.9641
   11  8  nullable  3.5012   3.6259     0.9656
   12  2  exact     2.8013   1.9041     1.4712
   12  2  nullable  3.3071   3.8335     0.8627
   12  3  exact     1.7390   1.7458     0.9961
   12  3  nullable  2.8545   3.0251     0.9436
   12  4  exact     1.3993   1.3868     1.0091
   12  4  nullable  2.4158   2.6444     0.9136
   12  8  exact     0.7730   0.7910     0.9772
   12  8  nullable  1.9618   2.0025     0.9797
   13  2  exact     4.1826   4.1779     1.0011
   13  2  nullable  3.8517   3.0019     1.2831
   13  3  exact     1.4328   1.4299     1.0020
   13  3  nullable  2.7131   2.4618     1.1021
   13  4  exact     1.1419   1.1410     1.0008
   13  4  nullable  2.1210   1.9956     1.0629
   13  8  exact     0.6326   0.6480     0.9763
   13  8  nullable  1.6594   1.6607     0.9992
   14  2  exact     2.3032   2.3116     0.9964
   14  2  nullable  3.0213   2.9636     1.0195
   14  3  exact     1.4445   1.4338     1.0074
   14  3  nullable  2.3207   2.5930     0.8950
   14  4  exact     1.1487   1.1464     1.0020
   14  4  nullable  2.0752   2.1541     0.9634
   14  8  exact     1.7200   1.7226     0.9985
   14  8  nullable  3.5536   1.6509     2.1526
   15  2  exact     5.0001   1.8944     2.6394
   15  2  nullable  2.6389   3.1389     0.8407
   15  3  exact     1.4257   1.4308     0.9964
   15  3  nullable  4.5984   9.6119     0.4784
   15  4  exact     1.1403   1.1383     1.0017
   15  4  nullable  2.0810   2.3709     0.8778
   15  8  exact     0.7815   1.3316     0.5869
   15  8  nullable  1.6319   1.6631     0.9812

=== median / IQR summary (edge/noedge ratio, per m x family) ===
m   family      median      IQR      min      max      n
2   exact       1.0629   0.6705   0.9908   2.6394     15
2   nullable    0.8862   0.1468   0.8363   1.8079     15
3   exact       0.9990   0.0083   0.9743   2.4823     15
3   nullable    0.9614   0.1916   0.4784   2.1138     15
4   exact       1.0021   0.0065   0.9899   1.0410     15
4   nullable    0.9568   0.0799   0.8778   1.9913     15
8   exact       0.9979   0.0288   0.5869   1.2265     15
8   nullable    0.9812   0.0349   0.4214   2.1526     15
